날짜,가맹점명,금액
2024-01-02,스타벅스,6500
2024-01-03,배달의민족,32000
2024-01-04,GS25,4200
2024-01-05,이디야커피,4000
2024-01-06,쿠팡,45000
2024-01-07,스타벅스,7000
2024-01-08,요기요,28500
2024-01-09,카카오택시,12000
2024-01-10,메가커피,3500
2024-01-11,배달의민족,41000
2024-01-12,CGV,14000
2024-01-13,스타벅스,6500
2024-01-14,무신사,89000
2024-01-15,넷플릭스,17000
2024-01-16,이마트,67000
2024-01-17,배달의민족,38000
2024-01-18,스타벅스,7500
2024-01-19,쿠팡이츠,25000
2024-01-20,티머니,50000
2024-01-21,메가커피,4000
2024-01-22,올리브영,56000
2024-01-23,배달의민족,29000
2024-01-24,스타벅스,6500
2024-01-25,유튜브프리미엄,14900
2024-01-26,식당결제,45000
2024-01-27,CU편의점,8700
2024-01-28,쿠팡,120000
2024-01-29,이디야커피,4500
2024-01-30,배달의민족,33000
2024-01-31,스타벅스,7000
